odometry = [0.20, 0.20,0.00; 
2.60, 1.80,-1.35; 
2.60, 1.80,-1.56; 
2.60, 1.78,-1.66; 
2.60, 1.76,-1.65; 
2.60, 1.74,-1.62; 
2.60, 1.72,-1.56; 
2.60, 1.69,-1.54; 
2.60, 1.67,-1.56; 
2.60, 1.65,-1.60; 
2.60, 1.63,-1.58; 
2.60, 1.61,-1.54; 
2.60, 1.59,-1.57; 
2.60, 1.57,-1.60; 
2.60, 1.55,-1.55; 
2.60, 1.53,-1.54; 
2.60, 1.50,-1.57; 
2.60, 1.48,-1.60; 
2.60, 1.46,-1.56; 
2.60, 1.44,-1.55; 
2.60, 1.42,-1.59; 
2.60, 1.40,-1.55; 
2.60, 1.38,-1.46; 
2.60, 1.36,-1.49; 
2.60, 1.34,-1.52; 
2.61, 1.32,-1.55; 
2.61, 1.30,-1.59; 
2.61, 1.28,-1.58; 
2.61, 1.25,-1.54; 
2.61, 1.23,-1.56; 
2.61, 1.21,-1.59; 
2.61, 1.19,-1.58; 
2.61, 1.17,-1.54; 
2.61, 1.15,-1.57; 
2.61, 1.13,-1.59; 
2.61, 1.10,-1.55; 
2.61, 1.08,-1.55; 
2.61, 1.06,-1.57; 
2.61, 1.04,-1.59; 
2.61, 1.02,-1.57; 
2.61, 1.01,-1.58; 
2.60, 0.98,-1.66; 
2.60, 0.96,-1.62; 
2.60, 0.94,-1.58; 
2.60, 0.92,-1.54; 
2.60, 0.90,-1.55; 
2.60, 0.88,-1.57; 
2.60, 0.86,-1.60; 
2.60, 0.84,-1.55; 
2.60, 0.82,-1.56; 
2.60, 0.79,-1.60; 
2.60, 0.77,-1.57; 
2.60, 0.75,-1.54; 
2.60, 0.73,-1.56; 
2.60, 0.71,-1.59; 
2.60, 0.69,-1.58; 
2.60, 0.67,-1.54; 
2.60, 0.64,-1.58; 
2.60, 0.62,-1.59; 
2.60, 0.60,-1.57; 
2.60, 0.58,-1.64; 
2.60, 0.56,-1.60; 
2.60, 0.54,-1.54; 
2.60, 0.52,-1.56; 
2.60, 0.50,-1.59; 
2.60, 0.47,-1.57; 
2.60, 0.45,-1.55; 
2.60, 0.43,-1.58; 
2.60, 0.41,-1.60; 
2.60, 0.39,-1.54; 
2.60, 0.37,-1.54; 
2.60, 0.35,-1.58; 
2.60, 0.33,-1.59; 
2.60, 0.30,-1.54; 
2.60, 0.28,-1.56; 
2.60, 0.26,-1.57; 
2.60, 0.24,-1.59; 
2.60, 0.22,-1.54; 
2.60, 0.20,-1.50; 
2.60, 0.20,-1.26; 
2.60, 0.20,-0.98; 
2.60, 0.20,-0.72; 
2.61, 0.20,-0.44; 
2.61, 0.20,-0.16; 
2.61, 0.20,0.07; 
2.64, 0.20,0.08; 
2.66, 0.20,0.06; 
2.68, 0.20,0.04; 
2.70, 0.20,0.01; 
2.72, 0.20,-0.03; 
2.74, 0.20,-0.00; 
2.77, 0.20,0.03; 
2.79, 0.20,0.00; 
2.81, 0.20,-0.02; 
2.83, 0.20,0.00; 
2.85, 0.20,0.03; 
2.87, 0.20,0.01; 
2.90, 0.20,-0.03; 
2.92, 0.20,0.01; 
2.94, 0.20,0.03; 
2.96, 0.21,0.00; 
2.98, 0.21,-0.02]
